"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"SLC38A3",61.889350206022,-1.59980767425397,0.182306274705715,-8.77538459296824,1.70320776218119e-18,3.16164023739748e-17,"DOWN"
"C10orf99",2.03310656601024,-1.46852494589869,0.40344086976746,-3.64000044602604,0.000272637568626519,0.000663749544104356,"DOWN"
"CLEC2A",3.91562222421973,-2.18970603736951,0.416841023188556,-5.25309630184602,1.49563283259916e-07,6.38444580380865e-07,"DOWN"
"COL25A1",568.455054676714,-1.57507714930373,0.254083056063484,-6.19906409229504,5.67998999692296e-10,3.53363182349267e-09,"DOWN"
"NKAIN2",33.1676087534659,-1.31379010919351,0.245691650208921,-5.34731281293583,8.92696568442677e-08,3.93193672094339e-07,"DOWN"
"PAQR9",3.58573794887755,-1.65409602836032,0.343915810402516,-4.8095957741064,1.51235820420429e-06,5.42661519848044e-06,"DOWN"
"HMX3",1.47824268912704,-1.20805707981726,0.315363978196418,-3.83067554742999,0.000127791922698448,0.000329862583143353,"DOWN"
"HMX2",3.23909286099203,-1.22177569679709,0.336227548030045,-3.63377630404013,0.000279303040404872,0.000678282526854144,"DOWN"
"ENTPD8",260.018202048754,-1.1676207828087,0.153676947586005,-7.59789155855818,3.00994383873938e-14,3.48584761502491e-13,"DOWN"
"NYX",0.621979055777015,-1.05794818679058,0.289622564609505,-3.65285138682824,0.000259344342680957,0.000635331212345786,"DOWN"
"GAGE2A",1.63371517908618,-2.4628056158701,0.775595494572166,-3.1753738038778,0.00149643595033837,0.00317931470547691,"DOWN"
"NA.46",NA,NA,NA,NA,NA,NA,NA
"SH2D5",27.8768348668999,-1.04890421906843,0.188684381239397,-5.55904104080355,2.71260912662118e-08,1.29777772427525e-07,"DOWN"
"MYBPC1",40.194469890146,-1.58727185126904,0.213339587336474,-7.44011869098458,1.00594876049224e-13,1.08625746763182e-12,"DOWN"
"AKR1C3",9047.48995604931,-1.33649679112946,0.184210950771885,-7.25525157722295,4.00915962793888e-13,3.98077077474053e-12,"DOWN"
"C20orf204",95.0699916469228,-1.09286864304784,0.120408039777631,-9.07637600500885,1.12250072760913e-19,2.37553329878714e-18,"DOWN"
"NBPF4",3.31501999507121,-1.06819228834124,0.333705511749064,-3.20100283253485,0.00136950185836478,0.00293732323353187,"DOWN"
"SLC30A10",10.5758588696134,-1.24632262149619,0.29815639423411,-4.18009690752294,2.91384894516917e-05,8.3989692088572e-05,"DOWN"
"CLPSL2",29.4259854363751,-1.26951538235894,0.194725498983992,-6.51951279613002,7.05361222889244e-11,5.06752509964403e-10,"DOWN"
"NA.47",NA,NA,NA,NA,NA,NA,NA
"NPIPB9",2.50394895592592,-1.0277344767927,0.174026000806086,-5.90563750262747,3.51285643417033e-09,1.913078646505e-08,"DOWN"
