"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"TRPV5",2.08455954944451,1.13058070836081,0.142566289537732,7.93021065517449,2.18774464675049e-15,3.46488450562276e-14,"UP"
"FGL2",2107.88351185594,1.4271560797719,0.0801693874420715,17.8017585677966,6.848419662932e-71,7.41687808119618e-69,"UP"
"VPREB3",90.2949136579073,1.36494968484995,0.123220486277233,11.0772950674692,1.61683561592669e-28,4.95794306055686e-27,"UP"
"APOL3",1766.66214229626,1.24028240479751,0.0681273367785902,18.2053557858625,4.68003366395072e-74,5.58503889985864e-72,"UP"
"IGLL1",15.1933383903518,1.21763322481039,0.181120780120738,6.72276932552243,1.78302744947161e-11,1.78741585303906e-10,"UP"
"RAC2",3502.79271301776,1.12558408568862,0.0651867516241376,17.2670681947562,8.32664332462082e-67,8.34267322620832e-65,"UP"
"APOBEC3A",87.6275431495099,1.02287497780417,0.126568813497653,8.08157198868852,6.39371661459894e-16,1.06199179513409e-14,"UP"
"ACKR4",53.9782470581524,1.00937988728327,0.117204149979587,8.61215142517623,7.17020473572197e-18,1.40230642931615e-16,"UP"
"SIGLEC9",252.42923203621,1.25577537598309,0.0739751553343748,16.9756368919654,1.24397378125282e-64,1.17712589725015e-62,"UP"
"ARHGEF6",1196.53395113467,1.09632414825702,0.0581430262001098,18.8556430565519,2.64108038059461e-79,4.0560067221984e-77,"UP"
"NA.9",NA,NA,NA,NA,NA,NA,NA
"APOE",15268.3342437529,1.05525162448623,0.0981594214659289,10.7503855333185,5.90144313269496e-27,1.71160121569927e-25,"UP"
"APOC1",1953.28698892114,1.28274338034777,0.101335935518582,12.658326720757,1.00621188560145e-36,4.0369134665158e-35,"UP"
"KLHDC7B",381.876244008072,1.03182942276081,0.125813447769526,8.2012649764673,2.37870562744305e-16,4.11138640551411e-15,"UP"
"LSP1",2572.17968075037,1.00673404637869,0.0744356624661025,13.5248886491358,1.11512372686295e-41,5.21021400162199e-40,"UP"
