	StromalScore	ImmuneScore	ESTIMATEScore
TCGA-97-8174-01A	916.65706105743	1651.54884043928	2568.20590149671
TCGA-49-AARN-01A	-17.7811248613171	1233.57072911703	1215.78960425572
TCGA-91-6849-01A	284.817005957065	1787.15967351329	2071.97667947036
TCGA-86-8669-01A	-98.7538036823181	1373.00114417054	1274.24734048822
TCGA-50-7109-01A	335.385904447621	1366.3085439302	1701.69444837782
TCGA-44-3917-01A	499.719027136976	1388.61262190896	1888.33164904593
TCGA-55-8510-01A	873.876096818866	2325.91312573827	3199.78922255714
TCGA-49-AAQV-01A	-345.922744442094	1497.88899905792	1151.96625461582
TCGA-55-7574-01A	1226.5314176009	2458.25531893474	3684.78673653564
TCGA-50-8459-01A	1875.50501778403	2394.3134274957	4269.81844527973
TCGA-93-A4JN-01A	415.321948619653	1341.68676528126	1757.00871390092
TCGA-49-4512-01A	990.675055233336	1460.50718267484	2451.18223790818
TCGA-55-8097-01A	236.664162123274	1252.66601708256	1489.33017920584
TCGA-55-7727-01A	-101.595431704054	1579.60088784373	1478.00545613968
TCGA-55-8508-01A	152.673608956286	1320.11385772346	1472.78746667975
TCGA-69-7765-01A	1307.1282640501	1666.29142064117	2973.41968469127
TCGA-44-7659-01A	-298.644825355773	1167.42248778644	868.77766243067
TCGA-78-7160-01A	858.383791015505	2108.2574321002	2966.6412231157
TCGA-44-2659-01A	898.064668451668	1863.03330767206	2761.09797612373
TCGA-93-8067-01A	-375.475511342228	674.871472577315	299.395961235087
TCGA-44-A4SU-01A	58.2930477079737	1174.9236461968	1233.21669390477
TCGA-55-A490-01A	458.081735147494	1225.30421282902	1683.38594797651
TCGA-55-7907-01A	493.712990593313	1700.74622939877	2194.45921999208
TCGA-49-4494-01A	-26.0853112175299	1468.27596955767	1442.19065834014
TCGA-75-6206-01A	434.684075647564	1141.21592915979	1575.90000480735
TCGA-86-8671-01A	1571.76994025953	3201.66863138086	4773.43857164039
TCGA-86-8672-01A	682.286030068985	1925.12378273834	2607.40981280733
TCGA-50-5946-01A	-852.686103394574	-43.1462545875887	-895.832357982162
TCGA-64-1681-01A	442.612184254135	1515.85271508241	1958.46489933654
TCGA-86-7713-01A	-826.181682595907	-11.8972413190819	-838.078923914988
TCGA-97-8172-01A	1044.79756942119	2186.60142782234	3231.39899724353
TCGA-50-5055-01A	1477.39084449157	2924.86759268142	4402.25843717299
TCGA-67-6216-01A	-29.9119363134849	1842.68427114005	1812.77233482657
TCGA-55-7283-01A	24.67009800663	1403.74075179224	1428.41084979887
TCGA-95-A4VK-01A	-236.767237838471	1379.64061353662	1142.87337569815
