	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
TCGA-78-7159-01A	0.00596609747626132	0	0.246631012067348	0.0404291109498252	0	0.220313569459923	0.028608219103682	0.0241382006360976	0.0173098548808384	0	0	0.072117031420249	0	0.129247849541979	0.0740311275294262	0.0553094661664806	0	0.0224952753190457	0.0102998231929953	0	0	0.0531033622558488
TCGA-MP-A4T6-01A	0.058072854965046	0	0.0288921873331593	0.0460103067892409	0	0.174663857947847	0	0.0324571668510173	0.11106602565187	0	0	0.0194591906398935	0.00109278669928581	0.273525683745519	0.0759822182918862	0.084727731667824	0.0132017963250086	0.0203577514770327	0.0600310185597736	0	0	0.000459423055595296
TCGA-55-8085-01A	0.045123749817612	0	0.0406187343573301	0.167547466727518	0	0.0680647625389485	0.0726996735189236	0.0403370191564729	0.0583871164577242	0	0	0.0386619542661193	0.0188481623311875	0.162415353349824	0.0969163978508023	0.116838968627072	0.0132074670679403	0.0281117782891037	0.0247716478695917	0	0	0.00744974777382957
TCGA-55-7227-01A	0.0072566931214167	0	0	0.0422324535717008	0	0.199751308480659	0	0	0.0455918642142241	0	0.0010119338964471	0.0228616646391846	0.0245085884705379	0.0905970657728921	0.0721332698227591	0.0897763071573101	0.289446947125409	0.0315598508197918	0.0738539858118374	0	0	0.00941806709583101
TCGA-97-A4M5-01A	0.0122758876088772	0.0136785897776468	0	0.0388346798464723	0	0.186707270530049	0	0.00049655302018067	0.0103404545652095	0	0.0725460393724751	0.00872283426833392	0.0162798013926294	0.162436044195215	0.0593726228269424	0.27459501494849	0.00398520309649478	0.0119844956266505	0.122243606112934	0	0	0.00550090281139914
TCGA-49-4486-01A	0.056700537275361	0	0.248646511164478	0.0656593141244233	0	0.154292103626809	0.00798108468969586	0.0416675756000003	0	0.0358796188415075	0	0.0343132065734191	0	0	0.0535971529249398	0.187498894305267	0.0729739731610606	0.0159090302853468	0.0233936563365179	0	0	0.0014873410911735
TCGA-55-8514-01A	0.0022372579830404	0.0246202986389924	0.0462167642666641	0.0225610317745045	0	0.225121482619333	0	0.0302140151212875	0.0437582530546339	0	0.00565933763898615	0.0100557375314335	0.0775722201922191	0.0493506051109181	0.0561693444689685	0.309716181924261	0	0.0531419915929484	0.0305357528095711	0	0	0.0130697252722385
TCGA-55-8094-01A	0.092048245619035	0	0.0697548428984127	0.0913448887080536	0	0.1181913491836	0.0184724392477355	0.0866904387911321	0	0	0	0.042230804152669	8.80688721497623e-05	0.129224910161145	0	0.107289537385305	0	0.204546978289889	0.0363283012101045	0	0	0.00378919548076898
TCGA-44-4112-01A	0.00743869400497763	0	0.165397786111845	0	0	0.181679804720217	0	0.0125932640894309	0	0.0280977983615602	0	0.0642573307113912	0.00472839826832148	0.069302294520325	0.0369423303259022	0.21772348569532	0.0723352580124105	0.0331302889217891	0.0790176663104858	0	0	0.0273555999460246
TCGA-44-3918-01A	0	0.022825329174918	0.0838527912547267	0.026634913187312	0	0.225865495728477	0.118140441231855	0.00444748592201671	0	0	0.0134985652198056	0.0136721191546531	0.000269387696906349	0.0133129562850836	0.0929625951892828	0.260014932629052	0.0239366400302477	0.0427201681502509	0.0407773490496971	0	0	0.0170688300957152
TCGA-49-4490-01A	0.0303331934069349	0	0.0207332751904532	0.0824894171733913	0	0.16868577704994	0	0.0236531287408455	0.167632649731768	0	0	0.0336539222354741	0.0230514944921349	0.184343543586372	0.082680396878746	0.0711435751858526	0.0254836429144257	0.02075355549841	0.065362427915251	0	0	0
TCGA-95-8494-01A	0.000396169711386708	0.000366898589624325	0.00338730596738511	0.0113808731177959	0	0.14231050503745	0.0284953432234206	0.0319627931470948	0.0159909665896129	0	0	0.0238569489379251	0.226417935906526	0.0176111295776399	0	0.0970193254131622	0.191291593619164	0.130212636474025	0.0792995746877876	0	0	0
TCGA-MP-A4T9-01A	0.00247605625231425	0	0.0123515344164838	0.0377203858741064	0	0.237585568732073	0.00170605970141801	0.0147788082293149	0.00391203152472427	0	0.0293536038683935	0.00848335268302135	0.0245575774379978	0.155323975626797	0.0831411425975428	0.253777613871284	0.0402483920640813	0.0252653793382152	0.0546358293020868	0	0.0016871635213013	0.0129955249588435
