"gene","HR","z","pvalue","lower","upper"
"PCK1",1.14191085157734,1.93370600816451,0.0531492847170334,0.998199635435516,1.3063122312013
"HGD",1.06780030177215,1.91006819341914,0.056124433625245,0.9982878109552,1.14215306643253
"IL7R",0.89608085929769,-1.90701828054997,0.0565182203005938,0.800518527495298,1.00305099609878
"SLC6A4",0.83899907982639,-1.89087709884365,0.0586407521589185,0.699419032428709,1.00643451680917
"CD80",0.82028240138257,-1.88614753114389,0.0592750767136056,0.667666600164842,1.00778325267706
"MNDA",0.898281050080483,-1.88157373660054,0.0598939149329257,0.803310666479744,1.00447918670086
"EVI2A",0.862235719295135,-1.8778266324565,0.0604048856737642,0.73864584686933,1.00650459050089
"ADGB",0.721590603712705,-1.87531753917557,0.0607490518586637,0.513080365817364,1.01483711725545
"KRT33A",1.24777036240958,1.87223756385472,0.0611737443455728,0.989681540896196,1.57316350055178
"CRHR2",0.822422200002624,-1.85508526025883,0.0635840522973843,0.668943546079886,1.01111413514764
"UGT3A1",0.808866695616362,-1.83317846093633,0.0667760359336111,0.644736908573143,1.01477877654822
"SLAMF6",0.877446997342281,-1.83264422405735,0.0668554969081547,0.762951892819847,1.00912421922097
"CCL13",0.926078076220056,-1.827901342339,0.0675643595741966,0.852875333470452,1.0055638492506
"MPEG1",0.892408579526265,-1.82460205067017,0.0680611037494266,0.78969600474285,1.00848056470973
"GPX2",1.04126973841346,1.82379710425057,0.0681827518404444,0.996985189755235,1.08752133860867
"LIN28B",1.17048237960342,1.81532651699047,0.0694737462800374,0.987536094738967,1.38732043138557
"SCGB1A1",0.960005047138616,-1.81317135273967,0.0698053967821996,0.918569272056936,1.00330995012262
"CD180",0.863546849422594,-1.81204386969097,0.0699794182429301,0.736835805850797,1.01204794233179
"GPR34",0.89316042730331,-1.81122126534323,0.0701066077012985,0.790367606575799,1.00932217143457
"CR1",0.833269251114494,-1.8094672016946,0.0703784511317881,0.683883745239235,1.01528607703641
"FCRL4",0.721383649236474,-1.80850317019654,0.0705282238603638,0.506353854226233,1.02772866255942
"ANKRD40CL",1.39707609402051,1.80400437952134,0.0712306203934917,0.971505916651404,2.00906816832485
"TLR8",0.886550693334726,-1.79321090796648,0.0729392065745053,0.777220117063579,1.01126066425271
"STUM",0.909641243838709,-1.7837225418858,0.0744687613654249,0.819740579192259,1.00940128315689
"PRG4",0.910398287546516,-1.77688412772795,0.0755873063827563,0.820847173369944,1.00971906690612
"NCKAP1L",0.886348881765672,-1.7677430842851,0.0771038637618187,0.775375440088031,1.01320508696802
