	TCGA-55-6971-11A	TCGA-91-6847-11A	TCGA-55-6970-11A	TCGA-55-6983-11A	TCGA-44-6778-11A	TCGA-49-4490-11A	TCGA-55-6982-11A	TCGA-50-5930-11A	TCGA-55-6978-11A	TCGA-49-6761-11A	TCGA-55-6979-11A	TCGA-44-6145-11A	TCGA-38-4625-11A	TCGA-50-5931-11A	TCGA-73-4676-11A	TCGA-50-5939-11A	TCGA-44-6777-11A	TCGA-44-3396-11A	TCGA-50-5935-11A	TCGA-49-6744-11A	TCGA-38-4626-11A	TCGA-49-6742-11A	TCGA-44-6144-11A	TCGA-55-6986-11A	TCGA-91-6836-11A	TCGA-44-6146-11A	TCGA-91-6829-11A	TCGA-55-6981-11A	TCGA-91-6835-11A	TCGA-50-6595-11A	TCGA-55-6968-11A	TCGA-44-6148-11A	TCGA-49-4512-11A	TCGA-44-2668-11A	TCGA-55-6984-11A	TCGA-49-6745-11A	TCGA-55-6969-11A	TCGA-38-4627-11A	TCGA-91-6831-11A	TCGA-44-2665-11A	TCGA-50-5933-11A	TCGA-91-6849-11A	TCGA-55-6972-11A	TCGA-44-2662-11A	TCGA-50-5936-11A	TCGA-50-5932-11A	TCGA-44-2661-11A	TCGA-44-2657-11A	TCGA-38-4632-11A	TCGA-44-6147-11A	TCGA-91-6828-11A	TCGA-49-6743-11A	TCGA-55-6975-11A	TCGA-44-6776-11A	TCGA-44-5645-11A	TCGA-55-6985-11A	TCGA-55-6980-11A	TCGA-44-2655-11A
NAA38	42.8475	51.2483	39.1419	46.6122	46.4832	104.0113	44.9183	41.8039	45.9911	65.6852	38.4626	42.2668	72.8611	43.4615	91.5128	39.5266	50.2618	46.2984	47.6901	35.8725	71.1234	52.5109	55.9174	45.1815	44.234	34.9238	45.7053	52.7013	51.7072	40.0925	68.6108	38.9629	92.502	44.5949	47.6649	114.3146	48.7011	103.0569	34.7125	59.3012	37.3683	49.329	47.0112	44.5127	44.4635	37.3304	51.0563	59.7418	74.2742	34.0263	42.9089	61.1439	54.1862	47.5851	61.8616	43.4255	46.0429	56.0651
SPNS2	40.6183	45.9101	33.0693	13.0763	62.3619	30.5122	53.7151	26.3451	41.3456	49.715	29.1676	44.88	45.6352	48.7712	28.259	51.4224	49.0658	56.8016	51.5354	44.9411	36.1486	33.9967	50.5151	47.7246	46.8647	43.931	22.3321	50.2675	49.6466	70.0953	30.5755	33.5113	17.3563	67.6253	40.0981	25.6132	65.465	59.2834	28.9071	30.4684	36.5245	51.3261	65.3696	55.2903	72.5667	50.3909	68.08	40.3984	18.001	37.9013	45.552	44.7564	44.2646	40.0231	80.6683	31.3445	51.5723	80.3723
MCEMP1	197.1208	173.7146	50.6949	172.0941	129.3971	276.9083	105.0403	261.665	132.3666	124.3946	122.5911	264.1441	468.4708	67.6632	218.8096	206.1252	200.6758	230.7525	116.2174	148.6735	544.4342	201.5208	94.5762	62.5851	219.8417	103.0123	501.0246	174.6244	31.1302	115.9327	349.6582	165.7388	248.4853	363.0842	214.6377	303.9823	179.0781	255.3984	108.0841	191.1563	118.281	109.546	120.1471	115.1219	209.1827	199.0245	143.1998	145.4961	3.988	110.887	124.2851	250.8178	120.5592	65.3261	133.2185	158.2151	131.0158	157.7394
AP2A2	36.1538	40.8411	41.602	31.9263	35.2869	16.3703	41.3045	31.7843	37.6075	34.8445	31.4085	30.8663	23.569	32.3454	20.91	39.9059	32.6305	39.5078	40.685	37.155	31.2403	28.0459	38.4613	37.3949	41.2289	45.2834	28.571	46.1515	35.5933	41.5528	32.3505	39.1234	14.1851	40.37	32.5725	22.2305	37.0693	23.485	31.7809	46.082	34.8153	38.7444	41.7805	42.7205	38.0711	43.0584	47.8448	35.745	31.6799	31.5644	42.3367	32.6103	35.7336	44.9277	47.971	29.4658	40.9278	46.6559
SLC8A1	3.6952	2.6443	4.9024	4.1484	4.3766	2.2887	5.2632	3.359	4.8636	3.0469	4.155	3.5448	3.4288	2.7621	3.2694	5.1131	3.621	6.8616	4.0753	5.4572	3.7531	3.4059	4.3185	3.3208	4.333	4.5418	6.5904	3.9665	3.2742	4.1024	3.6132	5.199	2.1472	5.4944	2.4943	2.1788	2.8908	4.4949	4.5592	4.3234	4.2139	2.7782	3.4449	3.5144	4.5129	5.0651	4.4528	2.3679	2.8569	3.6019	3.6628	3.0948	3.3415	3.4258	3.8252	5.0324	4.0023	3.9047
OR1G1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC25A21	0.4314	0.0983	0.2097	0.2357	0.6215	0.4594	0.2168	0.4743	0.5661	0.2507	0.483	0.3555	0.2833	0.2576	0.2344	0.536	0.3952	0.3894	0.5487	0.6726	0.1217	0.498	0.248	0.4891	0.4224	0.2666	0.0825	0.5844	0.5188	0.3055	0.1767	0.5237	0.1668	0.2405	0.3112	0.4555	0.1359	0.4082	0.6244	0.3938	0.41	0.6207	0.3516	0.2448	0.5138	0.285	0.6045	0.1794	0.3601	0.3419	0.1078	0.2993	0.2928	0.3406	0.345	0.4431	0.3622	0.5498
OTOP2	0	0	0	0	0.0318	0	0.043	0.0342	0	0	0	0.0313	0.015	0.034	0	0	0	0.0158	0	0.0381	0.089	0.0544	0	0.0447	0	0	0	0	0	0.0581	0	0.0231	0	0.0572	0	0	0.0359	0.024	0	0.0535	0	0.041	0	0	0.0354	0	0.0252	0.0259	0.0713	0.0542	0	0.0678	0	0.0771	0.026	0.036	0	0
CYLC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCP4	0.5952	0.1187	0.3797	0.6324	0	0.355	0.9162	0.1041	0.7457	2.1528	3.5672	0.2862	1.0491	0	0.3088	0.1035	0.5302	2.5074	1.5659	1.972	0.1808	0.7464	1.6587	0.4088	1.1332	0	1.0363	1.568	3.3407	0.3541	4.906	2.7399	2.2372	2.0322	0.1555	1.0083	0.1094	1.0953	2.3061	5.4332	0	0.9993	0	0.1313	2.5892	0	10.8318	0.6302	1.9564	0.4128	1.0411	0.1033	1.2725	1.2923	0.0793	1.7011	0	0.4595
ABAT	5.5834	4.813	5.8661	6.9901	4.6738	1.6109	9.105	5.4905	6.3771	5.6216	4.4384	3.8599	7.0864	3.1644	3.7782	5.9958	5.409	5.9951	5.2403	6.7878	8.5668	12.6153	4.8593	5.1962	9.0325	4.1134	9.248	7.7597	10.5659	5.1832	5.8729	9.1692	3.0583	9.1917	5.7767	2.9096	7.4343	2.1845	5.2349	5.2564	5.2299	5.7763	3.7352	4.2957	7.527	6.8535	5.6092	5.568	6.2826	3.0224	6.9576	3.1835	6.9252	4.0745	3.7414	7.8076	3.5334	5.1624
SLC25A10	2.1623	3.7456	1.1892	2.9944	1.6374	1.901	2.115	1.8391	2.7556	3.0339	1.6499	2.2586	2.5541	1.7142	2.3206	1.1674	1.7933	1.9027	2.2634	1.395	2.2422	2.1505	2.7358	4.1483	1.0221	1.8389	2.3966	2.1214	4.4334	2.1515	2.5652	2.8778	1.7152	1.5493	2.4349	2.1358	2.1793	2.1679	0.9333	2.2869	1.5897	2.6758	1.8161	2.8383	1.865	1.5518	1.8188	3.5229	0.9803	1.2721	2.5432	1.7075	2.0191	2.6048	3.1308	1.9385	2.9585	2.4369
CAMK1D	14.3027	27.6291	17.1884	12.5479	13.7843	6.4827	29.409	14.4336	14.4271	16.7777	41.7838	28.4906	8.9578	9.381	12.169	36.4133	14.2675	19.2999	26.1655	21.5072	10.6529	27.8682	13.0874	20.934	23.1786	37.6992	18.7699	12.5732	57.6178	11.8715	10.9316	20.4728	17.0172	15.9868	12.1751	7.9628	37.2509	13.6705	8.7597	6.6027	13.6491	20.1738	26.7599	14.0057	14.2223	30.3514	16.1744	32.3057	6.1303	22.5717	19.0311	14.818	14.5557	23.4707	28.297	11.3363	31.2721	9.8134
RGPD6	0.0073	0.0176	0	0.0094	0.0143	0.0066	0	0.0077	0.0276	0.01	0.0203	0.0071	0.0068	0.0153	0	0.0307	0.0078	0.0143	0	0	0	0.0061	0.0273	0.0202	0.0168	0	0.0118	0.0116	0	0.0306	0	0.0104	0	0	0.0153	0	0.0243	0	0	0.0121	0.04	0.037	0.0193	0.0097	0.008	0	0.0341	0	0	0.0183	0.0154	0.0229	0.0105	0.0087	0.0176	0.0081	0.0216	0.0151
LYSMD4	8.2501	5.9083	7.0031	3.5862	5.4407	4.1887	8.6668	4.9865	5.0709	6.9091	4.175	5.1955	3.1072	6.2912	4.0215	4.9054	3.7218	5.5608	4.0194	5.2749	3.5714	2.9538	5.417	6.9429	5.3684	5.8331	5.7473	5.0154	4.4043	8.4186	3.227	5.1745	2.5375	5.6219	4.1134	3.9146	6.8482	4.8859	4.6926	4.4339	3.3146	9.0275	8.0167	4.3262	4.7751	5.5211	6.0036	3.0372	2.7812	7.8508	6.0662	4.1957	5.2068	5.4233	6.5023	5.0001	5.142	5.7029
WBP2NL	0.7589	0.9834	0.6456	0.6652	0.5864	0.3395	0.7718	0.3319	0.3169	0.4075	0.2843	0.3193	0.1672	0.4792	0.1312	0.5446	0.3042	0.3305	0.3072	0.6656	0.1945	0.2511	0.4406	0.5213	0.6141	0.5131	0.3685	0.8247	0.4326	0.5268	0.187	0.5935	0.4707	0.1296	0.4213	0.2922	0.6278	0.2095	0.3393	0.2944	0.2582	0.5774	0.5621	0.335	0.5158	0.4607	0.3183	0.3641	0.4677	0.2895	0.3485	0.395	0.4958	0.5617	0.4805	0.621	0.5809	0.3662
IGSF5	0.1475	0.1764	0.0941	0.047	0.072	0.066	0	0	0.1386	0.05	0.153	0.0709	0.017	0	0	0.0385	0	0.1255	0.1791	0.2156	0.0168	0.3083	0.0343	0.6416	0.0842	0.0479	0	0.0583	0.2328	0.0219	0.2379	0.235	0.1663	0.0863	0.0771	0.477	0	0.2171	0.0659	0.0808	0.0669	0.0929	0.0485	0.0488	0.0401	0.0512	0.1142	0.1171	0.0404	0.1227	0.1161	0.2687	0.0526	0.1747	0.0295	0.0816	0.1626	0.2088
NKX2-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1494	0	0.0464	0	0.0558	0.0217	0	0	0	0	0	0	0	0	0.0568	0.1026	0	0	0.0559	0	0	0	0	0	0.0261	0	0	0	0	0.0519	0	0.0369	0	0	0	0	0	0.068	0	0	0	0	0
AFMID	21.9423	19.6039	19.9581	18.5265	18.0235	22.5437	20.2546	12.9209	17.3276	23.4088	14.4555	15.7845	16.5041	19.2467	16.4782	13.1774	15.662	12.097	14.6841	16.8515	17.0913	14.3883	18.0053	23.8642	19.2466	17.6717	14.1987	21.1373	15.6992	18.6839	18.4515	18.736	13.479	16.1209	19.2716	22.7509	18.3973	21.5527	17.7839	15.3491	15.0017	19.1486	26.8237	13.8709	15.2256	16.3106	14.9918	14.3186	12.9592	13.1382	21.2292	16.1065	18.0273	19.0956	19.8468	14.4611	26.0022	15.2693
GAS6	104.6999	186.8796	125.6923	94.0696	114.7788	103.5416	160.6576	120.0673	189.3466	141.8721	95.9129	151.7638	109.3442	168.5381	110.6093	168.3934	120.5795	177.5874	183.2835	139.6608	85.6739	101.5027	163.0024	168.673	100.1882	145.4971	79.5507	192.9116	150.8719	159.7793	83.2555	151.7224	98.5369	93.2303	204.7187	128.6725	118.3283	156.5254	110.3873	184.1288	111.4238	178.5323	188.3258	177.4704	129.5484	177.0936	309.4324	127.1278	112.665	113.6722	118.1312	128.0437	91.1295	135.7631	214.7447	86.3759	153.9586	225.2606
FREM3	1.0669	1.8716	7.6233	1.469	0.1666	0.8017	1.1073	0.6121	1.0871	1.8329	2.3215	1.9698	0.2682	2.2447	0.7527	1.2473	1.1252	2.5584	2.3491	1.2809	0.1361	5.0067	0.8457	0.5928	1.365	1.4218	0.663	1.1018	2.0659	0.7278	0.1835	1.0175	0.7443	1.199	10.7104	0.4206	0.4864	1.267	0.9158	1.6128	1.1745	0.1791	3.2027	0.9606	2.3515	1.7764	5.1775	0.5987	0.0623	1.5745	1.7915	2.0879	1.7233	2.9986	3.0492	0.2125	3.2612	1.3326
NEB	0.2525	0.2026	0.3304	0.2242	0.4867	0.1087	0.4555	0.0939	0.4165	0.0434	0.1326	0.1476	0.0367	0.1303	0.0464	0.1502	0.082	0.1911	0.1048	0.2505	0.0597	0.0882	0.1396	0.4421	0.1607	0.2656	0.0848	0.48	0.2355	0.2092	0.0962	0.6656	0.0346	0.0655	0.1436	0.0502	0.1798	0.0259	0.263	0.0718	0.4756	0.2013	0.3325	0.254	0.2016	0.3637	0.099	0.0965	0.021	0.3219	0.4395	0.1331	0.2278	0.3331	0.2736	0.2299	0.3101	0.1826
BEGAIN	0.6822	0.5489	0.5539	0.4428	0.3269	0.0777	0.8182	0.5337	0.4195	0.4037	0.1887	0.7991	0.576	0.2852	0.3603	0.5955	0.5171	1.1756	0.4367	0.7397	0.0848	0.5392	0.6682	0.4998	0.3117	0.9821	0.8771	0.8234	0.7962	0.6937	0.5334	0.7379	0.1566	1.0599	0.5185	0.1605	0.5062	0.3013	0.4436	0.6454	0.7427	0.4217	0.6042	0.7883	0.4991	0.7916	0.5955	0.847	0.1359	0.5471	0.2213	0.4132	0.5303	0.3819	0.4166	0.5832	1.1301	0.6448
GPC6	4.2669	4.6933	8.0877	2.1865	3.7897	8.1986	6.0458	5.1984	5.672	2.8843	3.6432	3.5359	3.4822	9.262	3.6154	9.6092	6.7021	5.0884	15.093	7.6528	1.4503	4.8059	4.4733	3.0407	1.7867	11.0238	1.2348	5.595	5.4001	5.5424	1.9618	13.088	8.28	1.7185	4.509	4.4245	5.3116	9.9475	3.7046	6.2594	4.4314	5.8565	3.2876	7.0756	4.7596	6.9672	7.4479	1.7323	1.5633	4.1676	2.9806	7.8121	8.6429	5.0693	2.9518	1.7304	3.7502	4.3076
ARHGEF37	16.8359	14.9978	15.764	9.4273	16.8642	4.7343	10.8018	8.3416	15.0156	11.9049	8.7221	15.1612	9.2587	12.1785	8.8384	15.1093	12.3193	22.2557	14.2849	24.7975	4.8478	8.1704	13.806	28.4389	11.7749	12.7578	8.1201	11.8043	15.9517	11.7497	6.0664	32.8044	3.9757	5.8499	16.7452	9.0989	10.4744	6.936	11.4421	9.3723	12.397	19.9451	21.5593	13.819	13.7969	18.6004	13.7515	7.0725	5.2529	6.7524	20.6297	13.3598	18.0815	21.6628	20.8984	18.9831	24.5246	25.939
FAM43B	0.5189	0.4297	0.1019	0.1018	0.3117	0.2142	0.8426	0.7541	0	0.2707	0.3864	1.8424	0.1101	0.2503	0.0828	0.6666	1.2373	0.4268	1.2601	0.2801	0.1091	0.7341	0.1112	0.1828	0.3192	1.4507	0.0321	0.1262	2.9405	0.2612	1.0299	0.1131	0.036	2.8036	0.1668	0.2951	0.7044	1.4984	0.4283	0.6996	0.507	0	0.0526	1.8497	0.0868	1.0523	0.9273	0.5071	0.1312	1.8935	0.0419	0.3324	0.3413	0.1418	0.2873	0.1546	0.7039	0.6163
CSMD1	0.0313	0.5061	0.1	0.2597	0.2855	0.1168	0.5996	0.0274	0.8704	0.0283	0.1011	0.1909	0.4396	0.0764	0.0759	0.0273	0.8878	0.391	1.4335	0.1344	0.1761	0.6114	0.2329	1.684	0.2089	0.3797	0.1343	0.3138	1.7592	0.9293	0.1067	1.1728	0.1272	0.2018	0.4176	0.6565	0.0922	0.0654	0.028	0.0916	0.8768	0.8354	0.6947	0.0311	0.0795	0.2609	0.0445	0.195	0.2404	0.1261	0.9485	0.0598	0.0298	0.2351	0.6225	0.7976	0.1919	0.3522
CALHM3	0.0591	0.0707	0	0.1508	0	0.1058	0.5463	0	0.0741	0	0.0818	0.1138	0.0816	0	0.0614	0	0.2529	0.115	0.1436	0.0692	0.2695	0.0989	0.0549	0.1354	0.1351	0	0.0475	0.0935	0.1245	0.0704	0	0.1676	0	0.4847	0.0618	0.164	0.1957	0.4789	0	0.1296	0.0537	0.0745	0.0779	0.0392	0	0.0821	0.229	0.0939	0.0648	0.0492	0.2483	0	0.0843	0	0.1892	0.0327	0.0869	0.0304
PTGDR2	0.9836	0.3245	1.1252	0.3459	1.5559	0.7282	0.537	2.563	0.9773	0.552	0.2814	1.0111	1.4659	0.3544	1.6538	2.0533	1.8127	1.4013	1.4414	0.9915	0.6645	0.9073	1.4807	1.0095	0.5424	0.9245	1.3082	0.965	1.1779	0.8879	1.3856	1.8735	0.7037	1.4889	0.7088	0.6268	1.2719	0.5492	0.6065	0.6316	0.3385	0.5552	1.295	0.943	0.3688	2.1176	1.4183	1.6698	0.9662	0.254	0.2492	1.3063	1.8369	1.4058	2.0616	0.6004	2.1432	1.9202
CEP57L1	2.8244	1.734	2.6677	1.7893	2.503	1.4777	3.2538	1.1275	2.1273	1.4884	1.9331	1.3663	1.0437	1.4908	1.1804	2.0075	1.278	1.5694	1.7743	2.607	1.3447	1.5789	1.867	2.6924	2.1047	2.5715	1.8286	3.2774	2.1456	2.1236	1.5834	2.3151	1.4641	1.0548	2.0521	1.9586	2.2934	1.5007	2.1069	1.3887	1.3153	2.3418	2.6083	1.2847	1.8341	2.3721	1.7846	1.3667	1.1074	1.4036	1.8669	2.2125	2.2555	2.3187	2.0141	2.0703	2.6312	1.8045
RIPPLY3	1.0295	1.4455	2.4558	0.2283	2.9708	1.001	0.4134	0.7047	1.1215	3.5212	0.3095	0.9039	0.3499	1.9646	2.229	1.2148	0.3349	1.0661	1.5761	1.4656	0.7342	0.2245	3.7005	4.6117	1.0738	0.4067	0.3957	0.7783	0.424	2.3967	0.2887	0.951	0.2423	0.262	0.5379	0.4136	1.1849	0.7578	2.0811	0.6619	0.4467	2.8181	3.3003	1.9261	2.4826	0.8695	0.3813	0.4265	0.1471	1.9743	1.2684	0.1398	0.2552	1.8023	5.549	0.9161	0.592	1.3362
ANKRD20A2P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR19	0	0.1336	0.5227	0.2849	0.2544	0.3331	0.393	0.1563	0.2799	0.101	0.3605	0.1074	0.1199	0.1167	0.1545	0.2332	0.5971	0.3439	0.1809	0.1306	0.1527	0.249	0.1384	0.3069	0.2978	0.2417	0.1795	0.412	0.5878	0.6868	0.3203	0.211	0.3359	0.1962	0.2335	0.2753	0.3286	0.6304	0.3995	0.1632	0.0676	0.2813	0.2451	0.2219	0.243	0.3617	0.3749	0.4731	0.204	0.4339	0.3126	0.3489	0.3715	0.0882	0.417	0.2472	0.3283	0.115
GJD3	4.1372	2.2597	6.4078	2.4391	7.7492	3.4228	8.1085	4.041	5.7221	6.487	2.5798	2.3227	3.1338	4.3733	3.1757	6.6647	6.2883	6.9628	6.0687	4.3345	1.7434	1.8793	6.2421	6.9864	3.36	6.4256	1.6334	5.4431	3.2214	8.3801	2.6481	5.4872	1.2297	3.0094	2.524	3.5356	3.9301	3.943	3.9342	3.3268	3.5366	4.7878	8.3438	7.1876	7.594	6.9347	5.0002	4.5006	2.2533	3.0848	3.3631	1.5683	3.8173	4.6445	10.1945	4.2729	6.1502	9.0468
RABIF	11.9049	12.5903	19.5469	18.2532	17.2763	14.9095	16.9877	14.0403	14.4037	12.6199	13.2584	15.1535	13.3244	16.7293	13.7158	15.8597	14.8685	13.3093	15.2538	15.0934	18.9274	15.0858	12.0188	12.3229	11.5949	17.7708	12.9145	16.8857	13.5505	12.7861	13.7756	13.2676	13.1415	18.5754	14.0117	17.4559	14.4782	17.0646	17.0866	12.6114	16.3719	16.6075	14.1892	13.4395	15.6721	15.3006	18.2198	16.4191	13.215	18.7982	18.1819	16.3709	15.9401	14.5806	13.8563	12.4603	13.3515	14.9476
TMEM119	29.9527	17.2886	43.4645	16.6285	37.4118	28.7709	60.8546	50.0222	34.3322	35.5883	27.4611	25.6453	47.0872	19.9475	43.8416	105.484	72.4968	90.5917	62.5272	77.9097	25.2667	15.4192	40.8791	22.7654	27.4841	81.5827	17.2131	36.6716	36.4951	32.81	31.179	58.92	30.7573	57.8579	26.2488	22.771	58.4232	65.8486	38.2499	93.5708	26.8965	54.0608	45.1332	75.0294	64.2123	64.5091	119.7304	62.5809	24.8144	48.0666	15.7173	75.4554	34.5099	18.6441	38.4622	48.9934	51.2333	78.9144
FANCF	9.8279	14.6668	8.7891	9.4635	4.173	12.935	16.6482	7.8219	15.4735	9.826	4.9687	6.5955	8.3686	4.499	4.7437	6.3842	10.0925	9.7994	12.9424	10.5895	6.5341	11.5918	6.4538	15.173	7.5973	9.0955	9.3049	9.7615	21.0601	11.217	12.6726	15.8965	14.1956	6.6734	8.9202	13.3885	6.8117	8.1301	5.8403	7.2039	5.657	8.8979	8.1311	2.5553	4.8434	9.5986	11.8873	11.765	8.4905	4.3736	10.2829	7.0159	8.7595	7.4191	14.082	8.0151	9.6866	11.1864
CALN1	0.0293	0.1637	0.0748	0	0.2194	0.1137	0.1676	0.0103	0.0367	0	0.0676	0.0376	0.0315	0.0613	0	0.1224	0.0209	0.038	0.0356	0.2857	0.0178	0.0082	0.0091	0.1387	0.0447	0.0254	0.0393	0.1081	0.0309	0.1047	0.021	0.1038	0	0.0343	0.1226	0.0361	0.0216	0.0144	0.035	0.0161	0.0887	0	0.0515	0.0776	0.0106	0.2577	0.2876	0.0388	0	0.0651	0.1334	0.0102	0.0418	0.0347	0.0235	0.0541	0.0718	0.1962
SMDT1	76.4329	82.5738	74.6907	75.0629	50.6334	178.0032	86.9123	77.3767	90.8719	80.2377	69.8735	65.5196	89.2078	50.672	106.5858	78.6007	62.7532	67.4165	51.406	70.0363	88.2701	68.0029	89.1934	88.6607	58.5501	46.7482	67.3153	70.1304	105.7432	81.1392	100.2574	81.0732	130.4125	64.0327	72.9097	169.8869	63.0087	133.3378	50.2694	75.7462	58.692	72.1451	56.039	65.0993	75.2626	65.164	58.9267	101.7533	107.244	54.3542	70.2615	102.7135	84.717	87.0384	87.9488	78.3462	68.4391	77.2844
GABRR3	0.0171	0	0	0	0	0	0	0	0	0	0.0237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018	0.0102	0	0	0	0.01	0	0.0158	0	0.0126	0	0.0094	0	0	0	0	0	0	0.0265	0.0272	0	0.0143	0	0.0178	0	0	0.0137	0	0	0
C2CD4C	1.5135	1.056	1.0862	1.0452	2.2158	0.3949	2.0384	0.9266	1.817	1.8817	0.8722	0.849	1.3193	3.3609	0.4253	1.1519	1.6178	1.6399	2.4885	1.3642	1.5515	1.8715	1.8745	1.9058	0.7924	0.8186	0.5067	2.3922	0.6305	3.2078	0.9153	0.8262	0.1138	1.7533	1.1532	0.8158	0.9738	0.9516	1.2968	0.7426	1.2873	3.4541	4.4835	0.5218	1.7145	1.1375	1.5383	0.6259	0.2418	2.5191	1.9193	0.361	0.4943	0.9708	3.354	0.5058	1.7145	0.6329
CHST6	0.1587	4.7725	0.5785	3.9165	0.8409	0.3651	5.055	0.1309	8.5205	0.5996	0.6741	1.1991	1.6366	0.1658	0.1646	0.4378	1.1026	4.6284	3.7438	0.8881	4.5451	3.9423	0.1158	13.3297	1.0489	0.3679	2.7327	1.738	7.6229	1.0318	0.6581	11.7688	0.8078	0.3251	2.0434	3.1738	0.4126	0.6008	0.1824	0.6891	1.9541	5.0385	1.0447	0.1876	0.5917	0.4404	0.5881	1.1522	0.4595	0.7924	6.9595	0.4366	0.0808	3.0205	1.6138	5.2297	1.6159	2.1354
POTEC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011	0	0	0
RUVBL2	32.5992	90.7906	33.4731	49.8167	40.1365	54.3626	63.3445	37.9904	91.8349	46.1284	35.7467	38.6394	58.2503	39.9363	43.7247	37.3192	47.6834	60.3958	58.5665	44.5919	60.1933	69.7046	43.2111	116.4153	41.8532	39.4408	36.9137	57.6061	153.7387	47.8771	48.1078	90.7773	52.3489	43.6684	55.9705	92.0287	39.0687	56.485	30.2848	52.2894	51.0173	84.3945	47.4383	46.2765	43.4867	46.267	55.9108	59.793	40.8102	40.4412	75.4521	45.773	30.448	55.0565	61.6182	46.3677	54.5354	67.8122
GDPGP1	1.8941	2.9734	1.5968	2.6088	2.0137	1.1195	2.2312	1.775	1.9491	2.3625	1.9647	2.0816	1.7729	1.3431	0.8246	1.7122	2.0065	1.307	1.499	1.8787	2.4426	2.0783	1.6652	3.0743	1.9704	1.6903	3.3838	2.4057	2.9543	2.0626	2.3999	2.6109	0.9611	1.5541	2.7392	1.2345	2.1264	0.834	1.4516	1.519	1.1814	2.4488	2.9614	1.0412	1.2874	1.5721	2.6323	2.3366	0.7782	1.52	1.6683	1.4963	1.3015	2.1629	2.5158	2.0861	3.2308	2.4459
CTNNA3	0.0701	0.0524	0.0894	0.0893	0.1111	0.0548	0.1733	0.046	0.0439	0.0238	0.0242	0.0926	0.0564	0.0458	0.0182	0.1097	0.0749	0.0979	0.2659	0.0512	0.0678	0.1904	0.0407	0.2246	0.05	0.0682	0.007	0.2076	0.5438	0.0469	0.0377	0.2729	0.1659	0.0154	0.0824	0.1214	0.0676	0.2192	0.0783	0.0336	0.151	0.2647	0.0461	0.0406	0.0857	0.1094	0.0746	0.0278	0.048	0.0364	0.046	0.1823	0.0749	0.0519	0.07	0.063	0.0901	0.0856
RIMBP3C	0.0338	0.0606	0	0.0431	0	0.0302	0.0669	0.0532	0.0212	0.0229	0.0234	0.0325	0.0388	0.0177	0.0701	0.0176	0.0722	0.0164	0.0205	0.0593	0.0616	0.0847	0.0314	0.0155	0.0193	0.0439	0.1629	0.0267	0.0178	0.0704	0.0545	0.0837	0	0.0494	0.0088	0.0156	0.0373	0.0622	0	0.0278	0	0.0213	0	0	0.0919	0	0.0523	0.1207	0	0.0281	0.0355	0.0352	0.0482	0	0.0135	0.028	0.0248	0.0348
PRR36	3.3031	6.724	2.2049	4.1832	1.2597	0.3327	4.5887	3.3061	3.5625	3.2636	2.5715	4.3332	1.4282	2.9717	1.6567	1.6668	4.1854	3.7214	4.0903	2.5579	1.6445	6.6931	2.6618	3.4257	2.3988	4.0603	3.3222	4.0799	8.4025	2.2124	3.3159	5.1431	1.2826	3.3545	5.2003	1.4351	5.6939	1.0466	2.034	4.337	2.58	4.2968	3.2545	3.881	3.5921	2.1245	3.6081	2.1192	1.1983	2.0389	4.0863	1.389	4.8011	1.373	3.3416	2.8194	4.4683	3.0286
OR51B4	0.1047	0	0.1336	0	0.1022	0	0.1382	0.1099	0	0	0	0.1007	0	0	0	0	0	0.0509	0	0.1225	0.0477	0.1751	0.0973	0.1439	0	0.4078	0.0842	0	0.4409	0.1246	0.2252	0.1483	0	0	0	0	0.1155	0	0	0	0.19	0.2637	0.1379	0	0.2278	0	0	0	0	0.1743	0.1099	0	0	0	0.0838	0.1159	0.1539	0.0539
PTTG1IP	305.382	364.2975	344.5615	313.82	419.6132	411.1056	427.7524	290.273	358.2718	376.9442	238.5311	315.6837	304.476	448.9183	406.8989	407.5947	289.0698	399.7223	416.1133	430.9809	339.4509	336.2688	350.389	368.1095	275.4029	376.3827	240.2867	346.666	367.3411	393.4282	230.9536	336.6287	341.7715	409.9094	351.2034	424.4417	264.8512	450.6659	385.6738	346.0223	398.6486	394.2629	366.7505	357.9524	366.0503	366.4031	471.6009	290.8238	306.4348	427.5447	340.3501	394.5791	312.5864	338.972	411.1521	262.8957	304.7338	438.133
